單字,KK 音標,詞性,中文意思,實用造句與用法說明
ever,[ˈɛvɚ],副詞,曾經 / 永遠,Have you ever seen a blue bird?（你曾經見過藍色的鳥嗎？）
every,[ˈɛvri],形容詞,每一個,Every student must bring a book to class.（每個學生都必須帶一本書來上課。）
example,[ɪɡˈzæmpl],名詞,例子 / 榜樣,Please give me an example of how to use this word.（請給我一個如何使用這個字的例子。）
exchange,[ɪksˈtʃendʒ],名詞 / 動詞的動作,交換,We had a friendly exchange of ideas during the meeting.（我們在會議中進行了友好的意見交換。）
existence,[ɪɡˈzɪstəns],名詞,存在,Scientists doubt the existence of life on that planet.（科學家懷疑那個星球上存在生命。）
expansion,[ɪkˈspænʃən],名詞,擴張 / 膨脹,Heat causes the expansion of metal.（熱會導致金屬膨脹。）
experience,[ɪkˈspɪrɪəns],名詞,經驗 / 經歷,She has five years of experience as a teacher.（她有五年擔任教師的經驗。）
expert,[ˈɛkspɚt],名詞 / 形容詞,專家 / 專門的,He is an expert in repairing old clocks.（他是修理舊時鐘的專家。）
eye,[aɪ],名詞,眼睛,Close your eyes and go to sleep.（閉上你的眼睛，去睡覺吧。）
face,[fes],名詞,臉,She had a big smile on her face.（她的臉上帶著燦爛的笑容。）
fact,[fækt],名詞,事實,It is a fact that the earth is round.（地球是圓的是一個事實。）
fall,[fɔl],名詞 / 動詞的動作,落下 / 秋天,The sudden fall of snow covered the ground.（突降的大雪覆蓋了地面。）
FALSE,[fɔls],形容詞,錯誤的 / 虛假的,Is the statement true or false?（這個陳述是正確的還是錯誤的？）
family,[ˈfæməli],名詞,家庭 / 家人,My family lives in a small town near the sea.（我的家人住在海邊的一個小鎮上。）
far,[fɑr],形容詞 / 副詞,遠的 / 遠地,The station is not far from our house.（車站離我們家不遠。）
farm,[fɑrm],名詞,農場,They grow rice and vegetables on their farm.（他們在他們的農場上種植稻米和蔬菜。）
fat,[fæt],形容詞 / 名詞,胖的 / 脂肪,The pig grew very fat after a few months.（幾個月後，這隻豬長得很胖。）
father,[ˈfɑðɚ],名詞,父親,My father works in a large trade company.（我父親在一家大型貿易公司工作。）
fear,[fɪr],名詞,害怕 / 恐懼,The little child has a fear of the dark.（這個小孩子害怕黑暗。）
feather,[ˈfɛðɚ],名詞,羽毛,A bird's feather is very light and soft.（鳥的羽毛非常輕且柔軟。）
feeble,[ˈfibl],形容詞,微弱的 / 虛弱的,The old man made a feeble attempt to walk.（老人做出了微弱的嘗試想走路。）
feeling,[ˈfilɪŋ],名詞,感覺 / 情感,I have a feeling that it will rain today.（我有一種今天會下雨的感覺。）
female,[ˈfimel],形容詞 / 名詞,女性的 / 雌性的,A female bird is sitting on the eggs.（一隻雌鳥正坐在蛋上。）
fertile,[ˈfɝtl],形容詞,肥沃的,The soil near the river is very fertile.（河流附近的土地非常肥沃。）
fiction,[ˈfɪkʃən],名詞,小說 / 虛構,I prefer reading true stories to fiction.（比起虛構小說，我更喜歡讀真實的故事。）
field,[fild],名詞,田地 / 領域,The cows are eating grass in the green field.（母牛正在綠色的田地裡吃草。）
fight,[faɪt],名詞,打架 / 戰鬥,The two boys had a fight about the toy.（那兩個男孩為了玩具打了起來。）
finger,[ˈfɪŋɡɚ],名詞,手指,He hurt his index finger with a needle.（他的食指被針弄傷了。）
fire,[faɪr],名詞,火 / 火災,We sat near the fire to keep ourselves warm.（我們坐在火堆旁取暖。）
first,[fɝst],形容詞 / 副詞,第一的 / 首先,This is my first time visiting Taiwan.（這是我第一次造訪台灣。）
fish,[fɪʃ],名詞,魚,A small fish is swimming in the glass bowl.（一隻小魚正在玻璃碗裡游著。）
fixed,[fɪkst],形容詞,固定的 / 確定的,The meeting will take place at a fixed time.（會議將在固定的時間舉行。）
flag,[flæɡ],名詞,旗幟,The national flag was flying in the wind.（國旗在風中飄揚。）
flame,[flem],名詞,火焰,The flame of the candle was bright and yellow.（蠟燭的火焰又亮又黃。）
flat,[flæt],形容詞,平的 / 平坦的,"The earth looks flat, but it is actually round.（大地看起來是平的，但實際上是圓的。）"
flight,[flaɪt],名詞,飛行 / 航班,Our flight to Paris will leave at eight.（我們去巴黎的航班將在八點起飛。）
floor,[flor],名詞,地板 / 樓層,Please wipe the water off the kitchen floor.（請把廚房地板上的水擦乾淨。）
flower,[ˈflaʊɚ],名詞,花朵,He gave his mother a beautiful red flower.（他給了他母親一朵美麗的紅花。）
fly,[flaɪ],名詞,蒼蠅,A fly is buzzing around the sweet food.（一隻蒼蠅在甜食周圍嗡嗡作響。）
fold,[fold],名詞 / 動詞的動作,摺痕 / 摺疊,Make a clean fold in the middle of the paper.（在紙的張中間做出整齊的摺痕。）
food,[fud],名詞,食物,Rice and bread are common types of food.（米飯和麵包是常見的食物種類。）
foolish,[ˈfulɪʃ],形容詞,愚蠢的,It was foolish of him to lose his money.（他把錢弄丟了真是愚蠢。）
foot,[fʊt],名詞,腳 / 英尺,He put his left foot into the cold water.（他把他的左腳伸進冷水裡。）
for,[fɔr],介系詞,為了 / 給 / 持續,I bought this warm coat for my father.（我為我父親買了這件厚大衣。）
force,[fɔrs],名詞,力量 / 強迫,The strong force of the wind broke the window.（強風的力量吹碎了窗戶。）
fork,[fɔrk],名詞,叉子,Use a fork and a knife to eat the meat.（用叉子和刀子吃肉。）
form,[fɔrm],名詞,表格 / 形狀,Please fill out this application form now.（請現在填寫這張申請表。）
forward,[ˈfɔrwɚd],副詞 / 形容詞,向前,He took one step forward to speak to me.（他向前走了一步與我說話。）
fowl,[faʊl],名詞,家禽（雞、鴨等）,"The farmer keeps ducks, geese, and other fowl.（農夫飼養鴨、鵝和其他家禽。）"
frame,[frem],名詞,框架 / 鏡框,She put her family photo in a wooden frame.（她把全家福相片放在木製相框裡。）
free,[fri],形容詞,自由的 / 免費的,You are free to leave whenever you like.（你隨時可以自由離開。）
frequent,[ˈfrikwənt],形容詞,頻繁的,He made frequent visits to the hospital.（他頻繁地前往醫院就診。）
friend,[frɛnd],名詞,朋友,He is a good friend of mine from school.（他是我學校裡的一位好朋友。）
from,[frʌm],介系詞,來自 / 從...起,I received a long letter from my brother.（我收到一封來自兄弟的長信。）
front,[frʌnt],名詞 / 形容詞,前面 / 前方的,The garden is at the front of the house.（花園在房子的前面。）
fruit,[frut],名詞,水果,Apple is a sweet and healthy kind of fruit.（蘋果是一種甜美且健康的水果。）
full,[fʊl],形容詞,滿的 / 飽的,The glass bottle is full of fresh water.（這個玻璃瓶裝滿了新鮮的水。）
future,[ˈfjutʃɚ],名詞 / 形容詞,未來 / 未來的,No one can tell what will happen in the future.（沒有人能預料未來會發生什麼事。）
garden,[ˈɡɑrdn],名詞,花園,There are many beautiful flowers in the garden.（花園裡有許多美麗的花朵。）
general,[ˈdʒɛnərəl],形容詞 / 名詞,一般的 / 將軍,This is a matter of general interest.（這是一個一般大眾都感興趣的事項。）
get,[ɡɛt],動詞,得到 / 獲得,Please get a cup of warm water for me.（請幫我拿一杯溫水。基本英語 18 個核心動詞之一。）
girl,[ɡɝl],名詞,女孩,The little girl is playing with a doll.（那個小女孩正在玩洋娃娃。）
give,[ɡɪv],動詞,給予,I will give this useful book to my friend.（我會把這本有用的書給我的朋友。基本英語 18 個核心動詞之一。）
glass,[ɡlæs],名詞,玻璃 / 玻璃杯,The window is made of thick and clear glass.（窗戶是由厚實透明的玻璃製成的。）
glove,[ɡlʌv],名詞,手套,Wear your leather gloves; it is cold.（戴上你的皮手套，天氣很冷。）
go,[ɡo],動詞,去 / 前往,We will go to the market after breakfast.（我們早餐後要去市場。基本英語 18 個核心動詞之一。）
goat,[ɡot],名詞,山羊,The white goat is eating grass on the hill.（那隻白山羊正在山上吃草。）
gold,[ɡold],名詞 / 形容詞,黃金 / 金製的,Her beautiful ring is made of pure gold.（她那隻美麗的戒指是由純金製成的。）
good,[ɡʊd],形容詞,好的,Reading books is a good habit for everyone.（讀書對每個人來說都是個好習慣。）
government,[ˈɡʌvɚnmənt],名詞,政府,The government built a new school here.（政府在這裡建了一所新學校。）
grain,[ɡren],名詞,穀物 / 顆粒,The birds are looking for grain on the ground.（鳥兒正在地上尋找穀物。）
grass,[ɡræs],名詞,草 / 草地,The children are sitting on the green grass.（孩子們正坐在綠色的草地上。）
great,[ɡret],形容詞,偉大的 / 巨大的,He is a great writer who wrote many books.（他是一位寫了許多書的偉大作家。）
green,[ɡrin],形容詞 / 名詞,綠色的 / 綠色,The leaves of the trees turn green in spring.（樹葉在春天變成綠色。）
grey / gray,[ɡre],形容詞 / 名詞,灰色的 / 灰色,The old man has short grey hair.（那位老人留著短灰髮。）
grip,[ɡrɪp],名詞 / 動詞的動作,緊握 / 掌控,He kept a firm grip on the heavy bag.（他緊緊握住那個沉重的袋子。）
group,[ɡrup],名詞,小組 / 團體,A group of students went to the library.（一組學生去了圖書館。）
growth,[ɡroθ],名詞,生長 / 增長,Proper food is necessary for the growth of children.（適當的食物對兒童的生長是必須的。）
guide,[ɡaɪd],名詞,導遊 / 指南,The tour guide showed us the old castle.（導遊帶我們參觀了那座古堡。）
gun,[ɡʌn],名詞,槍械,The soldier carried a heavy gun on his back.（士兵背上背著一把沉重的槍。）
hair,[hɛr],名詞,頭髮 / 毛髮,"She has long, dark hair.（她留著烏黑的長髮。）"
hammer,[ˈhæmɚ],名詞,鐵錘,Use a hammer to put the nail into the wall.（用鐵錘把釘子敲進牆裡。）
hand,[hænd],名詞,手,Always wash your hands before you eat.（飯前務必洗手。）
hanging,[ˈhæŋɪŋ],形容詞 / 名詞,懸掛的 / 絞刑,There is a beautiful picture hanging on the wall.（牆上掛著一張美麗的畫。）
happy,[ˈhæpi],形容詞,快樂的,We are happy to hear the good news.（我們很高興聽到這個好消息。）
harbor,[ˈhɑrbɚ],名詞,港口 / 海港,Many large boats are resting in the harbor.（許多大船正停泊在港口中。）
hard,[hɑrd],形容詞 / 副詞,硬的 / 困難的 / 努力地,Diamond is a very hard stone. / He works hard.（鑽石是極硬的石頭。/ 他努力工作。）
harmony,[ˈhɑrməni],名詞,和諧 / 融洽,They live in perfect harmony with their neighbors.（他們與鄰居相處得非常融洽。）
hat,[hæt],名詞,帽子,Put on your hat before going out into the sun.（到陽光下之前先戴上帽子。）
hate,[het],名詞 / 動詞的動作,仇恨 / 憎恨,He showed great hate towards the cruel enemy.（他對殘暴的敵人展現了極大的恨意。）
have,[hæv],動詞,有 / 擁有,I have two books in my bag.（我包包裡有兩本書。基本英語 18 個核心動詞之一。）
he,[hi],代名詞,他,He is a famous engineer at the factory.（他是那家工廠著名的工程師。）
head,[hɛd],名詞,頭部 / 首領,Wear a helmet to protect your head.（戴上安全帽以保護你的頭部。）
healthy,[ˈhɛlθi],形容詞,健康的,Proper food keeps your body healthy.（適當的食物能保持身體健康。）
hearing,[ˈhɪrɪŋ],名詞,聽覺 / 聽力,The old man has excellent hearing.（那位老人的聽力非常好。）
heart,[hɑrt],名詞,心臟 / 核心,Regular exercise is good for your heart.（規律運動對你的心臟有好處。）
heat,[hit],名詞,熱度 / 高溫,The extreme heat of the summer made us tired.（夏天的高溫讓我們感到疲倦。）
help,[hɛlp],名詞 / 動詞的動作,幫助,Thank you for your help with my project.（謝謝你對我專案的幫助。）
here,[hɪr],副詞,這裡,Come here and look at this beautiful flower.（過來這裡看看這朵美麗的花。）
high,[haɪ],形容詞,高的,The plane flew high above the high mountains.（飛機在高山之上高高飛過。）
history,[ˈhɪstəri],名詞,歷史,We love to read books about world history.（我們喜歡讀關於世界歷史的書。）
hole,[hol],名詞,洞 / 孔,The little rabbit ran into a hole in the ground.（小兔子跑進了地上的洞裡。）
hollow,[ˈhɑlo],形容詞,空心的 / 凹陷的,Owls often live in a hollow tree branch.（貓頭鷹常住在空心的樹枝裡。）
hook,[hʊk],名詞,鉤子,Hang your warm coat on the hook behind the door.（把你的厚大衣掛在門後的鉤子上。）
hope,[hop],名詞,希望,There is still a strong hope of winning the game.（贏得這場比賽依然保有很大的希望。）
horn,[hɔrn],名詞,獸角 / 喇叭,The goat has two sharp horns on its head.（那隻山羊頭上有兩隻尖銳的角。）
horse,[hɔrs],名詞,馬,The farmer rode his black horse to the market.（農夫騎著他的黑馬去市場。）
hospital,[ˈhɑspɪtl],名詞,醫院,The sick child was sent to the modern hospital.（生病的孩子被送往那家現代化的醫院。）
hour,[ˈaʊɚ],名詞,小時,We walked for one hour around the beautiful lake.（我們沿著美麗的湖泊散步了一個小時。）
house,[haʊs],名詞,房屋 / 房子,They live in a white house near the high school.（他們住在中學附近的一棟白房子裡。）
how,[haʊ],副詞,如何 / 怎樣,Please tell me how to use this automatic machine.（請告訴我如何使用這台自動化機器。）
humor,[ˈbjumɚ],名詞,幽默感,The teacher is full of humor and makes us laugh.（老師充滿幽默感，總是讓我們大笑。）
I,[aɪ],代名詞,我,I am reading an interesting book about nature.（我正在讀一本關於大自然的有趣書籍。）
ice,[aɪs],名詞,冰,"Put some ice into my cup of water, please.（請放些冰塊到我的水杯裡。）"
idea,[aɪˈdiə],名詞,想法 / 主意,He came up with an excellent idea to save money.（他想出了一個省錢的好主意。）
if,[ɪf],連接詞,如果,"If it rains tomorrow, we will stay at home.（如果明天地下雨，我們就待在家裡。）"
ill,[ɪl],形容詞,生病的,She stayed in bed because she felt very ill.（因為她覺得病得很厲害，所以躺在床上。）
important,[ɪmˈpɔrtnt],形容詞,重要的,It is important to double-check the record.（仔細覆核這項紀錄是很重要的。）
impulse,[ˈɪmpʌls],名詞,衝動 / 推動力,He had a sudden impulse to buy that expensive watch.（他突然有一股衝動想買那隻昂貴的手錶。）
in,[ɪn],介系詞,在...裡面,The key is in the drawer of the desk.（鑰匙在書桌的抽屜裡。）
increase,[ɪnˈkris],名詞,增加 / 增長,There is a steady increase in the price of gold.（黃金價格正在穩定增長。）
industry,[ˈɪndəstri],名詞,工業 / 產業,The car industry employs many process engineers.（汽車工業雇用了許多製程工程師。）
ink,[ɪŋk],名詞,墨水,Please fill my black pen with some fresh ink.（請幫我的黑筆加點新鮮墨水。）
insect,[ˈɪnsɛkt],名詞,昆蟲,An ant is a small and hard-working insect.（螞蟻是一種弱小且勤勞的昆蟲。）
instrument,[ˈɪnstrəmənt],名詞,儀器 / 工具 / 樂器,The laboratory has a complex instrument for testing.（實驗室有一台用於檢測的複雜儀器。）
insurance,[ɪnˈʃʊrəns],名詞,保險,He paid for car insurance to protect his new vehicle.（他支付了汽車保險以保護他的新車。）
interest,[ˈɪntrɪst],名詞,興趣 / 利息,He shows a deep interest in value investing.（他對價值投資展現了深厚的興趣。）
invention,[ɪnˈvɛnʃən],名詞,發明,The invention of the electric light bulb changed our lives.（電燈泡的發明改變了我們的生活。）
iron,[ˈaɪɚn],名詞 / 形容詞,鐵 / 鐵製的,The strong bridge is built of solid iron.（那座堅固的橋樑是由實鐵建造的。）
island,[ˈaɪlənd],名詞,島嶼,Taiwan is a beautiful island with green mountains.（台灣是一個擁有翠綠山巒的美麗島嶼。）
jelly,[ˈdʒɛli],名詞,果凍 / 膠狀物,The children love to eat sweet apple jelly.（孩子們喜歡吃甜甜的蘋果果凍。）
jewel,[ˈdʒuəl],名詞,珠寶 / 首飾,She keeps her expensive jewels in a safe box.（她把昂貴的珠寶存在保險箱裡。）
join,[dʒɔɪn],名詞 / 動詞的動作,接合處 / 加入,You can see the join where the two pipes meet.（你可以看到兩條管路交會的接合處。基本英語中常用名詞代表動作結果。）
journey,[ˈdʒɝni],名詞,旅程 / 旅行,They took a long train journey to Paris last year.（他們去年搭乘了長途火車前往巴黎旅行。）
judge,[dʒʌdʒ],名詞,法官 / 裁判,The judge listened carefully to the whole story.（法官仔細聆聽了整個故事的始末。）
jump,[dʒʌmp],名詞 / 動詞的動作,跳躍,The horse made a great jump over the wooden fence.（那匹馬高高地跳過了木製圍籬。）
keep,[kip],動詞,保持 / 保存 / 維持,Please keep the room clean and quiet.（請保持房間乾淨與安靜。基本英語 18 個核心動詞之一。）
kettle,[ˈkɛtl],名詞,水壺,Put the kettle on the stove to boil some water.（把水壺放在爐子上燒些水。）
key,[ki],名詞,鑰匙,He turned the key in the lock to open the door.（他轉動鎖裡的鑰匙把門打開。）
kick,[kɪk],名詞 / 動詞的動作,踢,He gave a strong kick to the football.（他用力地踢了一腳足球。）
kind,[kaɪnd],形容詞 / 名詞,仁慈的 / 種類,What kind of fruit do you prefer?（你比較喜歡哪一種水果？）
kiss,[kɪs],名詞 / 動詞的動作,接吻 / 吻,She gave her baby a sweet kiss on the cheek.（她在寶寶的臉頰上輕輕吻了一下。）
knee,[ni],名詞,膝蓋,He hurt his left knee while working in the garden.（他在花園工作時弄傷了左膝。）
knife,[naɪf],名詞,刀子,This sharp knife has a thin steel blade.（這把鋒利的刀子有一個薄鋼刀刃。）
knot,[nɑt],名詞,繩結,Tie a tight knot at the end of the cord.（在繩索的盡頭打一個緊緊的結。）
knowledge,[ˈnɑlɪdʒ],名詞,知識,Reading gives us a lot of useful knowledge.（閱讀帶給我們許多實用的知識。）
land,[lænd],名詞,土地 / 陸地,The farmer bought a piece of land to grow vegetables.（農夫買了一塊地來種植蔬菜。）
language,[ˈlæŋɡwɪdʒ],名詞,語言,English is a useful language for international trade.（英語是國際貿易中非常實用的語言。）
last,[læst],形容詞 / 副詞,最後的 / 最近的,This is the last train to the city tonight.（這是今晚前往市區的最後一班火車。）
late,[let],形容詞 / 副詞,遲的 / 晚的,He was late for the meeting because of the traffic.（因為交通原因，他開會遲到了。）
laugh,[læf],名詞 / 動詞的動作,笑聲,Her happy laugh made everyone in the room smile.（她快樂的笑聲讓房間裡的每個人都露出了笑容。）
law,[lɔ],名詞,法律,Everyone must obey the law of the country.（每個人都必須遵守國家的法律。）
lead,[lɛd] / [lid],名詞,鉛 / 領先,The pipes are made of lead. / He took the lead in the race.（這些管路是由鉛製成的。/ 他在比賽中處於領先。）
leaf,[lif],名詞,樹葉,A green leaf fell from the tall tree branch.（一片綠葉從高高的樹枝上落了下來。）
learning,[ˈlɝnɪŋ],名詞,學習 / 知識,A library is an excellent place for learning.（圖書館是學習的絕佳場所。）
leather,[ˈlɛðɚ],名詞 / 形容詞,皮革 / 皮製的,He wore a black leather coat during his journey.（他在旅途中穿著一件黑色皮大衣。）
left,[lɛft],形容詞 / 副詞 / 名詞,左邊的 / 向左,Turn left at the end of the straight road.（在這條直路的盡頭向左轉。）
leg,[lɛɡ],名詞,腿部,The table has four strong wooden legs.（這張桌子有四隻堅固的木製桌腳。）
let,[lɛt],動詞,讓 / 允許,Please let me use your computer for a minute.（請讓我借用一下你的電腦。基本英語 18 個核心動詞之一。）
letter,[ˈlɛtɚ],名詞,信件 / 字母,I sent a long letter to my family yesterday.（我昨天寄了一封長信給我的家人。）
level,[ˈlɛvəl],名詞 / 形容詞,水平 / 平的,Check the water level in the tank regularly.（定期檢查水箱中的水位。）
library,[ˈlaɪbrɛri],名詞,圖書館,I go to the public library to read books on weekends.（我週末去公共圖書館讀書。）
lift,[lɪft],名詞 / 動詞的動作,電梯 / 抬起,Take the lift to the fifth floor of the building.（搭乘電梯到大樓的五樓。）
light,[laɪt],名詞 / 形容詞,光線 / 輕的 / 明亮的,The sun gives us light and heat during the day.（太陽在白天給予我們光和熱。）
like,[laɪk],介系詞 / 連接詞 / 形容詞,像 / 如同,The baby looks just like his older brother.（這寶寶長得就像他的哥哥一樣。）
limit,[ˈlɪmɪt],名詞,限制 / 限度,There is a speed limit of sixty miles an hour here.（這裡有每小時六十英哩的時速限制。）
line,[laɪn],名詞,線條 / 隊伍,Draw a straight line on the white paper with a pencil.（用鉛筆在白紙上畫一條直線。）
linen,[ˈlɪnɪn],名詞 / 形容詞,亞麻布 / 亞麻製的,These high-quality sheets are made of pure linen.（這些高品質的床單是由純亞麻布製成的。）
lip,[lɪp],名詞,嘴唇,He touched his dry lip with his finger.（他用手指碰了碰自己乾燥的嘴唇。）
liquid,[ˈlɪkwɪd],名詞 / 形容詞,液體 / 液態的,Water is a clear liquid that we need every day.（水是我們每天都需要的透明液體。）
list,[lɪst],名詞,清單,Write a list of the goods you need to buy.（寫下你需要購買的物品清單。）
"little (less, least)","[ˈlɪtl] ([lɛs], [list])",形容詞,少的 / 小的,The little girl has less sugar than her brother.（這個小女孩分到的糖比她哥哥少。）
living,[ˈlɪvɪŋ],形容詞 / 名詞,活著的 / 生計,He makes a living by selling beautiful art.（他靠販售美麗的藝術品維持生計。）
lock,[lɑk],名詞,鎖,The iron lock on the wooden door is broken.（木門上的鐵鎖壞了。）
long,[lɔŋ],形容詞,長的,The train journey from Hsinchu to Taipei is not long.（從新竹到台北的火車旅程並不長。）
look,[lʊk],名詞 / 動詞的動作,看 / 外觀,Take a careful look at this technical document.（仔細看一下這份技術文件。）
loose,[lus],形容詞,鬆的,The screw on the machine handle is loose.（機器手把上的螺絲鬆了。）
loss,[lɔs],名詞,損失,The company suffered a great financial loss this year.（公司今年遭受了巨大的財務損失。）
loud,[laʊd],形容詞 / 副詞,大聲的,A loud noise came from the factory building.（工廠大樓裡傳出一聲巨響。）
love,[lʌv],名詞,愛 / 熱愛,A mother's love for her children is very great.（母親對孩子的愛是非常偉大的。）
low,[lo],形容詞,低的,The temperature is very low in the high mountains.（高山上的溫度非常低。）
machine,[məˈʃin],名詞,機器,This automatic machine is used for packing food.（這台自動化機器是用來包裝食物的。）
make,[mek],動詞,製造 / 做 / 使,He can make a beautiful table out of wood.（他能用木頭做一張漂亮的桌子。基本英語 18 個核心動詞之一。）
male,[mel],形容詞 / 名詞,男性的 / 雄性的,The male bird has more colorful feathers than the female.（雄鳥的羽毛比雌鳥更鮮豔。）
man,[mæn],名詞,男人 / 人類,The old man walked slowly down the straight street.（那位老人沿著筆直的街道緩慢走著。）
manager,[ˈmænɪdʒɚ],名詞,經理 / 主管,The factory manager signed the validation protocol.（工廠經理簽署了驗證協議。）
map,[mæp],名詞,地圖,We used a detailed map to find our way in Paris.（我們用一張詳細的地圖在巴黎找路。）
mark,[mɑrk],名詞,標記 / 分數,There is a dark mark on the white shirt.（那件白襯衫上有一個深色的污漬標記。）
market,[ˈmɑrkɪt],名詞,市場,She bought fresh fruit and vegetables at the market.（她在市場買了新鮮的水果和蔬菜。）
married,[ˈmærid],形容詞,已婚的,They have been married for five happy years.（他們已經過了五年的幸福婚姻生活。）
match,[mætʃ],名詞,比賽 / 火柴 / 配對,He struck a match to light the candle in the dark.（他在黑暗中劃了一根火柴來點燃蠟燭。）
material,[məˈtɪrɪəl],名詞,材料 / 原料,Steel is an important material for building bridges.（鋼是建造橋樑的重要材料。）
mass,[mæs],名詞,塊 / 大量 / 質量,A large mass of snow fell from the mountain top.（一大塊積雪從山頂落了下來。）
may,[me],動詞,可能 / 可以,You may use my pen to fill out this form.（你可以用我的筆填寫這張表單。基本英語核心助動詞之一。）
meal,[mil],名詞,一餐 / 膳食,Breakfast is the most important meal of the day.（早餐是一天當中最重要的一餐。）
measure,[ˈmɛʒɚ],名詞,測量 / 尺寸 / 措施,Take a careful measure of the room before buying a bed.（買床之前，請仔細測量房間的尺寸。）
meat,[mit],名詞,肉類,He does not eat meat; he prefers vegetables.（他不吃肉，他比較喜歡蔬菜。）
medical,[ˈmɛdəkəl],形容詞,醫療的 / 文學的,The sick child received excellent medical care.（生病的孩子得到了極佳的醫療照顧。）
meeting,[ˈmitɪŋ],名詞,會議 / 聚會,The important project meeting will start at ten o'clock.（重要的專案會議將在十點鐘開始。）
memory,[ˈmɛməri],名詞,記憶 / 回憶,The old grandmother has a very good memory.（老祖母的記憶力非常好。）
metal,[ˈmɛtl],名詞 / 形容詞,金屬 / 金屬製的,The heavy box has a strong metal handle.（那個沉重的箱子有一個堅固的金屬把手。）
middle,[ˈmɪdl],名詞 / 形容詞,中間 / 中央的,Place the flower vase right in the middle of the table.（把花瓶放在桌子的正中間。）
military,[ˈmɪləˌtɛri],形容詞 / 名詞,軍事的 / 軍隊,He wore his formal military coat to the event.（他穿著正式的軍大衣出席活動。）
milk,[mɪlk],名詞,牛奶,Drinking warm milk before bed helps you sleep.（睡前喝溫牛奶能幫你入睡。）
mind,[maɪnd],名詞,心智 / 頭腦 / 想法,Keep an open mind when learning new knowledge.（學習新知識時要保持開放的心態。）
mine,[maɪn],代名詞 / 名詞,我的（所有格代名詞）/ 礦坑,"This book is mine, not my brother's. / He works in a gold mine.（這本書是我的。/ 他在金礦工作。）"
minute,[ˈmɪnɪt],名詞,分鐘,Please wait for one minute; I am almost ready.（請等一分鐘，我幾乎準備好了。）
mist,[mɪst],名詞,薄霧,A light mist covered the river early this morning.（今天清晨，一層薄霧籠罩著河流。）
mixed,[mɪkst],形容詞,混合的,Put the mixed vegetables into the boiling water.（把混合蔬菜放進沸騰的水中。）
money,[ˈmʌni],名詞,金錢,He saved a large amount of money to buy a car.（他存了很大一筆錢想買車。）
monkey,[ˈmʌŋki],名詞,猴子,A little monkey is climbing the tall tree branch.（一隻小猴子正在爬高高的樹枝。）
month,[mʌnθ],名詞,月份,June is the sixth month of the year.（六月是一年中的第六個月。）
moon,[mun],名詞,月亮,The bright moon gave light to the dark street.（明亮的月光照亮了黑暗的街道。）
morning,[ˈmɔrnɪŋ],名詞,早晨 / 上午,I usually go for a short walk in the morning.（我通常在早晨去散一下步。）
mother,[ˈmʌðɚ],名詞,母親,The mother kissed her sleeping baby girl.（母親吻了她正在熟睡的女嬰。）
motion,[ˈmoʃən],名詞,運動 / 移動 / 提議,The steady motion of the train made me sleepy.（火車穩定的移動讓我昏昏欲睡。）
mountain,[ˈmaʊntn],名詞,山脈 / 高山,There is still dark green forest on the high mountain.（高山上依然有深綠色的森林。）
mouth,[maʊθ],名詞,嘴巴,Open your mouth so the doctor can take a look.（張開你的嘴，好讓醫生看一下。）
move,[muv],名詞 / 動詞的動作,移動 / 舉動,It was a wise move to double-check the figures.（覆核這些數據是一個明智的舉動。）
much (more, most),"[mʌtʃ] ([mor], [most])",形容詞 / 副詞,許多的 / 更 / 最
muscle,[ˈmʌsl],名詞,肌肉,Heavy strength training helps to build strong muscle.（重量力量訓練有助於建立強壯的肌肉。）
music,[ˈmjuzɪk],名詞,音樂,Listening to beautiful music can help you relax.（聆聽美妙的音樂可以幫助你放鬆。）
nail,[nel],名詞,釘子 / 指甲,He used a heavy hammer to drive the nail into wood.（他用一把重鐵錘把釘子敲進木頭裡。）
name,[nem],名詞,名字,Please write your full name on the list.（請在清單上寫下您的全名。）
narrow,[ˈnæro],形容詞,狹窄的,The car could not pass through the narrow street.（汽車無法通過那條狹窄的街道。）
nation,[ˈneʃən],名詞,國家 / 民族,Every nation has its own unique history and art.（每個國家都有其獨特的歷史和藝術。）
natural,[ˈnætʃərəl],形容詞,自然的 / 天然的,Milk is a natural food that is good for children.（牛奶是一種對兒童有好處的天然食物。）
near,[nɪr],介系詞 / 形容詞 / 副詞,靠近 / 附近的,Our house is very near the high school.（我們家離中學非常近。）
necessary,[ˈnɛsəˌsɛri],形容詞,必要的,Proper training is necessary for safe driving.（適當的培訓對於安全駕駛是必要的。）
neck,[nɛk],名詞,脖子 / 頸部,She wore a beautiful gold chain around her neck.（她脖子上戴著一條美麗的金鏈子。）
need,[nid],名詞,需要 / 需求,There is an urgent need for fresh water in the town.（鎮上對淡水有迫切的需求。）
needle,[ˈnidl],名詞,針,She used a small steel needle to fix the shirt.（她用一支小鋼針來修補襯衫。）
nerve,[nɝv],名詞,神經 / 勇氣,The optical nerve connects the eye to the brain.（視神經將眼睛與大腦連接起來。）
net,[nɛt],名詞,網 / 網狀物,The fisherman caught many fish with his large net.（漁夫用他的大網捕到了許多魚。）
new,[nu],形容詞,新的,He bought a new automatic camera yesterday.（他昨天買了一台新的自動相機。）
news,[nuz],名詞,新聞 / 消息,We were happy to hear the good news of your success.（我們很高興聽到你成功的好消息。）
